tweet_id,aggr,auth_id,auth_power,bully,harm,peer,rep,targ_id,targ_power
1138312060360679425,1,2415339932,0,0,0,0,1,483038863,0
1138312190363131905,0,1078141444987207552,0,0,0,0,0,893385859,0
1138312223942696960,1,1116203743236771840,0,0,0,0,0,203570192,0
1138312316217372672,1,211651688,0,0,0,0,0,251898616,0
1138312400099205120,0,1613639490,0,0,0,0,0,714713170116526080,0
1138312479795232768,1,382521271,0,0,0,1,1,1075002049463492608,1
1138312504961110016,1,879441610785902592,0,0,0,0,0,44828972,0
1138312509130248192,0,161731163,0,0,0,0,0,2813869351,0
1138312530101538816,0,1040373345131220992,0,0,0,0,0,1135315490086313984,0
1138312605624414213,1,222582311,0,0,0,0,0,18089606,0
1138312727267545088,0,24019375,0,0,0,0,0,40519997,1
1138312748205596672,1,92893224,0,0,0,0,0,44523403,0
1138312890832654336,1,991606592066863232,0,0,0,0,1,974898610918719616,0
1138312991508553728,1,43445466,0,1,1,0,0,703853606395469824,0
1138313016670339077,1,729726114961227776,0,0,0,0,0,957449894754742400,1
1138313264134262784,0,2217499061,0,0,0,1,0,2762635263,0
1138313322825170945,1,904431410290753536,0,0,0,1,0,8541962,0
1138313360573755392,0,228265795,0,0,0,0,0,23138544,0
1138313553545441280,1,2600827507,0,0,0,0,0,2363268643,0
1138313557722816512,1,582023124,0,0,0,1,1,31193752,0
1138313733887934464,1,228630507,0,0,0,0,0,1602165541,0
1138313901647519744,1,948640513707728768,0,0,0,0,1,2887991285,0
1138313989736341508,1,1009794325570572416,0,0,0,0,0,1029006743345549184,1
1138314111366733824,1,782125271960870912,0,0,0,1,0,1019404891574300800,0
1138314195252916224,0,784419611173265408,0,0,0,1,0,4400801786,0
1138314371401228288,1,861306483291639808,0,0,0,0,0,1123336497183195136,0
1138314493073616897,1,320576157,1,0,0,0,0,800896564634021888,0
1138315164149780480,1,2458553629,0,0,0,1,0,1898866987,0
1138315461928529920,1,21182343,0,0,0,1,0,1065838787585036416,0
1138315478701662209,0,427862608,0,0,0,0,0,488951599,0
1138315499673214977,1,19329039,0,0,0,1,0,31249792,0
1138315524834770944,1,17699072,0,0,0,0,0,1640929196,1
1138315550030016512,1,236281336,0,0,0,0,0,24083901,1
1138315558414274561,0,1270707476,0,0,0,0,0,1106622410097188864,0
1138315583563489281,0,971939095877488640,0,0,0,1,0,749972016053284864,0
1138315621303771136,1,1111336038679699584,0,1,1,0,0,779006121348661248,0
1138315843610087424,1,864389869040132096,0,0,0,0,0,2486435622,1
1138315910719201282,1,1130009168453275648,0,0,0,0,0,1097024729591046016,0
1138316036577665024,1,1055855221753163776,0,0,1,0,0,19117046,1
1138316120425811968,0,526682030,0,0,0,0,0,33567986,0
